term,category
#peaktrans,1
peaktrans,1
adulthumanfemale,1
biological males,2
dropthet,1
getthelout,1
dysphoria,2
enby,1
gendercritical,1
gender crticial,2
genderfluid,1
gnc,1
hrt,2
transgender,1
ladyboy,1
menstruator,2
natal males,1
nonbinary,1
tranny,2
trannies,2
radfem,2
selfid,1
self-id,1
tranniversary,1
trans people,1
trans rights,1
trans man,1
trans men,1
transman,1
transmen,1
trans women,1
trans girl,1
trans guy,1
trans girl,1
trans guys,1
transwomen,1
transwoman,1
transing,1
transgenderism,1
transgenders,1
transphobia,1
transphobia,1
transsexual,1
transsexualism,1
transsexuals,1
transgenderism,1
transtrender,1
trap gay,2
trap trans,2
womenstandup,1
XY males,2
cis,1
cisgender,1
cisgendered,1
qtpoc,1
